욜로게임즈,세종특별자치시 갈매로 351 에비뉴힐 2123호
하얀책상 도안2호점,대전 유성구 원신흥로55번길 66-23 1층
대전보드게임카페타운,대전 유성구 대학로151번길 28 3층
보드플렉스,대전 서구 둔산로 32-11 4층
메카,대전 유성구 대학로151번길 8 지하1층
레드버튼 은행점,대전 중구 중앙로164번길 7 지하 1층
히어로보드게임카페 복합터미널점,대전 동구 동서대로 1688 빅플러스타워 2층
체스카페,대전 서구 둔산중로 40
태기보드게임카페,대전 대덕구 한남로12번길 27
홈즈앤루팡 보드게임카페 대전은행점,대전 중구 중앙로156번길 10 3층
정글비 청주지웰시티점,충북 청주시 흥덕구 대농로 39 엘케이트리플렉스 205호
카페코나,대전 서구 도산로369번길 92 2층
카페코나 괴정2호점,대전 서구 용문로 36-1 2층
더홀릭보드게임카페 충북대점,충북 청주시 서원구 1순환로674번길 3 23층
한국보드,대전 대덕구 대덕대로1504번길 43
라이트앤게임즈,대전 서구 도안남로 142 도안프라자 2층
홈즈앤루팡,충북 청주시 상당구 상당로81번길 26 3층
정글비 분평점,충북 청주시 서원구 1순환로1107번길 21 조은주차빌딩 201호
탑,대전 동구 홍도로33번길 74-12 2층
보드막보드카페 은행점,대전 중구 중앙로164번길 26 2층
두더지하,대전 중구 중앙로164번길 37 지하1층
잼보드게임,대전 중구 대둔산로 397
프렌즈,대전 동구 동대전로 139 3층
모노폴리보드게임,충북 청주시 서원구 1순환로672번길 62 지하1층
보드플렉스,충북 청주시 상당구 성안로 19-2 4층
런보드카페,충북 청주시 서원구 1순환로672번길 46
정글비 청주오창점,충북 청주시 청원구 오창읍 중심상업1로 20 엘케이트리플렉스2 201호
케이아레나,충북 청주시 청원구 1순환로 134 4층
레드박스,충남 아산시 배방읍 호서로 234
보드게임카페 레드버튼 천안점,충남 천안시 동남구 만남로 48 알지비빌딩 7층 701호
스페이스공간,충남 천안시 서북구 불당33길 36 천아빌딩 4층
드림보드게임장,충남 논산시 계백로 1178
킹덤보드게임카페,충남 천안시 동남구 먹거리11길 25 4층
홈즈앤루팡 천안점,충남 천안시 동남구 만남로 28 5층
큐브트리,충남 천안시 동남구 먹거리11길 36 3층
놀러와다락방,경기 평택시 비전5로 20-45 좋은프라자2 401호
마스터홀덤라운지앤펍,충남 천안시 서북구 성정공원5로 26 4층 402호
하얀책상 홍성점,충남 홍성군 홍성읍 홍성천길 166
리플레이보드게임카페,경기 평택시 비전5로 20-25 3층
더홀릭보드게임카페 평택역점,경기 평택시 평택2로10번길 8 4층
정글비 평택용죽점,경기 평택시 용죽3로 22 여유빌딩 2층
조커보드게임,경기 평택시 평택2로10번길 34 스타로데오 7층
보스카페,경기 안성시 석정2길 22 2층
탑스홀덤토너먼트카페,경기 평택시 비전5로 20-51 5층 502호
세븐보드카페,경기 안성시 대덕면 내리1길 3 1층
갬블고니카페,경기 평택시 평남로 1053 3층
카페1215,충남 홍성군 홍성읍 조양로143번길 33
올인홀덤카페,경기 안성시 석정1길 8
쓰리랑보드카페,경기 평택시 비전6길 20
드라굿즈카페,경기 평택시 관광특구로 11 1층
로티플보드카페,경기 평택시 관광특구로 13 4층
홀덤천국,경기 평택시 고덕중앙로 200-4 우성고덕타워 2층 205206호
블랙클로버,경기 평택시 고덕국제대로 7 3층
온앤오프,전북 전주시 덕진구 명륜3길 14 1동 3층
보드박스,전북 전주시 덕진구 명륜3길 10-2 2층
보드막보드게임카페,전북 전주시 완산구 전주객사5길 30-2 1층
수다,전북 전주시 완산구 전주객사5길 47 로얄타운 2층
띵,전북 군산시 나운로 66 201호
보드게임카페 온앤오프 전주직영점,전북 전주시 덕진구 명륜3길 14 3층
정글비 오산수청점,경기 오산시 오산대역로 214 G플레이스상가 2층 203호
블랙보드카페,전북 전주시 완산구 홍산북로 69-9 2층
보드게임카페 레드버튼 수원점,경기 수원시 팔달구 향교로1번길 2 3층
방탈출NO1,경기 수원시 팔달구 권광로187번길 24 영진빌딩 5층
더홀릭 전주점,전북 전주시 완산구 홍산중앙로 18
브레인체스,전북 전주시 완산구 화산천변6길 10
데블다이스 보드게임카페 강남점,서울 강남구 테헤란로1길 29 4층
큐브보드게임카페,전북 전주시 완산구 전주객사5길 47 2층
히어로보드게임카페 홍대1호점,서울 마포구 와우산로21길 31-10 2층
블랙홀,전북 전주시 덕진구 백제대로 639
키키보드게임카페,경기 화성시 향남읍 상신하길로 320 704호
세븐보드카페,전북 전주시 덕진구 건산로 290 1층
골드문 전주본점,전북 전주시 덕진구 건산로 82 2층
알로하프렌즈,경기 화성시 동탄대로시범길 134 카림애비뉴 1차상가 2층 20442045호
블루칩,전북 완주군 이서면 안전로 141
몬스터핸드보드카페 방이점,서울 송파구 오금로13길 9 4층
보드게임카페 레드버튼 안산점,경기 안산시 단원구 고잔1길 37 송원빌딩 501호
키랩보드게임 룸카페 건대본점,서울 광진구 아차산로33길 49 키랩 보드게임 룸카페 건대본점
히어로보드게임카페 홍대2호점,서울 마포구 홍익로6길 15 3층
에이플러스보드게임카페,경기 수원시 팔달구 효원로265번길 41 순경빌딩 4층
히어로보드게임카페 건대1호점,서울 광진구 아차산로 221 3층
프리스콜레 광교점,경기 수원시 영통구 센트럴타운로 106 센트럴프라자 2층 214호
플레이보드 홍대2호점,서울 마포구 잔다리로6길 20-9 3층
플레이온보드게임카페 신림점,서울 관악구 남부순환로 1592 3층
레드버튼 영통점,경기 수원시 영통구 청명남로 32 6층
보드게임카페지니어스,경기 화성시 동탄반석로 144
더홀릭 수원역점,경기 수원시 팔달구 향교로 15 3 4층
히어로보드게임카페 서현점,경기 성남시 분당구 분당로53번길 16 정일빌딩 4층
보드빌,경기 용인시 처인구 명지로40번길 4 링크153타워 402호
디마켓,전북 전주시 완산구 솟대2길 2 2층
레드버튼 강남점,서울 강남구 역삼동 814-5 1층
레드버튼 신촌점,서울 서대문구 연세로 8 3층
레드버튼 서현점,경기 성남시 분당구 분당로53번길 19 피아자코코빌딩 4층 402호
정글비 동탄점,경기 화성시 동탄중심상가2길 32 골드프라자 4층
조커보드카페,경기 오산시 궐동로 5
보드게임카페 레드버튼 범계점,경기 안양시 동안구 평촌대로223번길 52 원천빌딩 5층 502호
보드게임아지트,서울 영등포구 영중로 31 3층
히어로보드게임카페 부천점,경기 부천시 부천로9번길 28 3층
스몰월드 이수점,서울 동작구 동작대로27가길 48 5층
히어로보드게임카페 안양1번가점,경기 안양시 만안구 안양로292번길 14 3층
홈즈앤루팡 수원역점,경기 수원시 팔달구 향교로 25 34층
브이보드게임카페,경기 성남시 중원구 광명로16번길 4 3층
히어로보드게임카페 충주연수점,충북 충주시 갱고개로 158
스몰월드,서울 관악구 과천대로 947 4층
보드게임카페 레드버튼 안양점,경기 안양시 만안구 장내로149번길 41 3층 301호
히어로보드게임카페 부평점,인천 부평구 시장로 12 2층
보드에바나나,서울 송파구 백제고분로45길 7 2층 202호
홈즈앤루팡 인천구월점,인천 남동구 성말로 9 이노프라자 3층 303호
마법사보드카페,경기 화성시 동탄기흥로 147-13
더조커,서울 마포구 잔다리로2길 19 2층
홈즈앤루팡 분당서현점,경기 성남시 분당구 서현로210번길 16 유성트윈프라자1차 4층 404405호
히어로보드게임카페 건대본점,서울 광진구 능동로13길 39 한아름쇼핑센터 2층
데블다이스 보드게임카페 강남대로점,서울 강남구 강남대로 428 만이빌딩 3층
보드게임카페 홈즈앤루팡 안산중앙점,경기 안산시 단원구 고잔2길 65 3층
더아지트,경기 안산시 단원구 중앙대로 907 안산종합상가 4동 3층
보드게임카페 레드버튼 부평점,인천 부평구 부평대로12번길 17 3층 301호
플레이독스,서울 광진구 능동로 163 지하 1층
레드버튼 아주대점,경기 수원시 영통구 아주로 38 2층
레드버튼 신림점,서울 관악구 신림로 323 3층
다이스타운,서울 강남구 봉은사로2길 37 3층
보드게임하자,서울 동작구 만양로14길 25 지하 1층
데블다이스 보드게임카페 병점점,경기 화성시 효행로 1052 씨네샤르망 A동 8층
큐브보드카페,서울 강남구 강남대로102길 16 4층
열린문보드게임,경기 수원시 권선구 덕영대로 1302 1층 102호
다빈치보드게임카페,서울 광진구 아차산로 235 6층
이스케이프시티 부천 신중동점,경기 부천시 중동로248번길 105 조이럭타운 5층 503호
히어로보드게임카페 영통점,경기 수원시 영통구 청명남로 31 키라레스토아 4층
정글비 배곧신도시점,경기 시흥시 서울대학로278번길 21 새롬프라자2차 3층 307호
알파고보드카페,서울 구로구 공원로6나길 12 2층
에이스보드카페,서울 마포구 독막로7길 27 지하1층
레드버튼 구월점,인천 남동구 인하로489번길 28 4층
레드버튼 홍대점,서울 마포구 홍익로 19 3층
보드스테이지,인천 남동구 인하로507번길 63
코마이스케이프 홍대점,서울 마포구 어울마당로 55-1
몬스터핸드,서울 송파구 올림픽로8길 10 3층
히어로보드게임카페 안산점,경기 안산시 단원구 고잔로 108 대동조이월드 6층
디아날로그,서울 영등포구 영신로40길 5 성진빌딩 지하1층
보드놀이터,서울 마포구 홍익로 9-1
푸른하늘 보드게임카페,서울 송파구 송파대로 459
홀덤인서산,충남 서산시 호수공원6로 61 3층
키랩보드게임 룸카페 프리미엄점,서울 광진구 동일로24길 96 키랩보드게임 룸카페 프리미엄점
보드게임101,서울 종로구 새문안로3길 23 경희궁의아침4단지 지하상가 107호
히어로보드게임카페 부천중동점,경기 부천시 석천로177번길 20 3층
레드버튼 부천점,경기 부천시 부일로 459 4층
보드스토리,서울 종로구 종로12길 16 대성빌딩 4층
윙보드게임카페,서울 성동구 마조로 7 3층
와룸보드게임카페,서울 관악구 남부순환로226길 28 지하1층
펀타임 강남점,서울 강남구 테헤란로1길 17 상우빌딩 3층
히어로보드게임카페 수원점,경기 수원시 팔달구 향교로 29 3층
옐로우미플,서울 마포구 연희로1길 45 3층
라마보드게임카페,충북 충주시 갱고개로 167 3층
카페드봉봉,경기 부천시 부천로3번길 45 부천프라자 2층
아지트보드게임카페,경기 용인시 기흥구 관곡로 92-1 5층
포퀸스보드카페,서울 강서구 마곡동로 62 마곡사이어스타워 5층
다이스라떼(DCC카페),서울 동대문구 천호대로83길 93 동우빌딩 2층
정글비 위례신도시점,경기 성남시 수정구 위례광장로 322 아이플렉스 2층 202호
티키타카,경북 상주시 경상대로 2910 상가 1층 102호
드림보드게임카페,경기 용인시 기흥구 죽전로 11 미래시티 4층 403-2호
달무티 교대점,서울 서초구 서초대로58길 18 지에스타워 지하 1층 B02호
보드604,인천 연수구 샘말로43번길 19 3층
펀보드게임카페,서울 강남구 선릉로86길 34 3층
하이힐,서울 용산구 보광로59길 36 5층
더홀릭보드게임카페 성균관대역점,경기 수원시 장안구 서부로2126번길 9 2층
나인원 건대점,서울 광진구 아차산로31길 28 지하 1층
데블다이스,경기 안양시 동안구 평촌대로223번길 28 에이스프라자 3층
정글비 하남미사점,경기 하남시 미사강변중앙로198번길 35 우성르보아리버 2층 206호
다락다락방,경기 용인시 수지구 죽전로 152-1 단대프라자1 지하1층
뮤직,경기 수원시 팔달구 향교로 149-1
더홀릭보드게임카페 범계점,경기 안양시 동안구 평촌대로223번길 48 백운빌딩 5층 502호
타이틀보드게임카페,경기 수원시 영통구 반달로 24
보드스토리 건대점,서울 광진구 동일로22길 104 진명빌딩 7층
다빈치보드게임카페,서울 강남구 강남대로102길 14 3 4층
보드게임카페 레드버튼 동성로점,대구 중구 동성로5길 25 몰디브코리아빌딩 4층 401호
보드게임하트,경기 화성시 경기대로 1025-5 501호
플레이어스,경기 용인시 처인구 명지로40번길 15-17 골든프라자2동 3층 306호
플레이온보드게임카페 구디점,서울 구로구 디지털로32길 97-33 3층
레드버튼 대학로점,서울 종로구 대명길 9 4층
월드보드카페,서울 강북구 도봉로87길 9 4층
보드게임카페 홈즈앤루팡 홍대점,서울 마포구 홍익로3길 8 5층
스몰월드 서울대점,서울 관악구 관악로 168 2층
스테이보드게임카페,서울 강서구 화곡로58길 25 3층
홈즈앤루팡 건대점,서울 광진구 아차산로 241 2층 202203호
몬스터핸드 잠실점,서울 송파구 백제고분로7길 39 4층
플렉스보드게임카페,서울 종로구 종로 119 3층
온앤오프 분당서현점,경기 성남시 분당구 분당로53번길 20 지하 1층
킹스맨보드게임카페,경기 시흥시 중심상가4길 16 하영빌딩 2층
이스케이프시티 성신여대점,서울 성북구 보문로34길 43 세학빌딩 6층
구구보드카페,전북 군산시 대학로 549
보드게임카페 보드스쿨,서울 강남구 테헤란로1길 16
히어로보드게임카페 신촌점,서울 서대문구 명물길 23 큐비드빌딩 3층
가즈아 배틀보드게임,인천 남동구 논고개로 61
비비보드카페,경기 수원시 팔달구 권광로207번길 12 3층
포퀸스보드카페,서울 관악구 관악로 152 3층
보드게임카페 레드버튼 산본점,경기 군포시 산본로323번길 16-30 성보빌딩 지하1층
히어로보드게임카페 철산점,경기 광명시 오리로856번길 12 4층
홈즈앤루팡 강남점,서울 강남구 테헤란로1길 48 2층
공간보드게임카페,경기 수원시 영통구 대학로 34 경기캠퍼스프라자 501호
매버릭보드카페,경기 화성시 동탄중심상가2길 29 5층
친구네놀이터,서울 마포구 잔다리로 19
더홀릭보드게임카페 서현점,경기 성남시 분당구 서현로210번길 14 지하1층
쪽지길보드게임카페,경기 수원시 팔달구 정조로 775-10
정글비 시흥은계점,경기 시흥시 은계번영길 7 단디프라자 304호
강남텍사스홀덤,서울 강남구 삼성로86길 20 3층
통통,충북 제천시 내제로 183-1
데블다이스 보드게임카페 신촌점,서울 서대문구 연세로5가길 1 5층
위펀,서울 강남구 논현로175길 75 지하1층
세라비보드카페,서울 영등포구 영등포로50길 5 3층
코코보드게임카페,경기 성남시 분당구 장미로 86
타이쿤보드게임 카페,인천 미추홀구 경인남길30번길 49 2층
퍼스트보드게임카페 대학로점,서울 종로구 대학로 130 3층
이수마장앤보드게임,서울 서초구 서초대로1길 15 진주빌딩 지하
홈즈&루팡 범계점,경기 안양시 동안구 평촌대로223번길 44 3층
더홀릭보드게임카페 배곧점,경기 시흥시 배곧3로 96 4층 402호
보드스테이지,인천 연수구 송도과학로16번길 33-3 C동 2층 219호
깔깔고블린,서울 마포구 동교로17안길 10
펄레드카페,서울 강동구 성안로 173 1104호
김조커의 보드게임카페,강원 원주시 능라동길 47 2층
미플보드게임,서울 동대문구 회기로 150 지하1층
위치스브루,인천 계양구 계양대로 166 정우빌딩 2층
카지노펍보드카페,경기 수원시 팔달구 권광로187번길 31 3층
고릴라보드게임카페,인천 부평구 시장로29번길 7
네옥스보드카페,경기 광명시 신기로17번길 3 서원빌딩 4층 405406호
미르보드카페,서울 관악구 신림로11길 13 2층
화이트엔젤 천호점,서울 강동구 올림픽로70길 61 두산위브센티움 2층
플레이보드게임,경북 구미시 인동중앙로3길 29 4층
홀덤치기좋은날,서울 관악구 봉천로 516 2층
보드놀이터 2호점,서울 마포구 어울마당로 100-6 4층
보드팩토리,서울 마포구 어울마당로 70 서포빌딩 5층
보드게임카페갬성,서울 송파구 백제고분로41길 26 3층
퍼스트보드게임카페 부평점,인천 부평구 시장로 21 3층
지지보드게임카페,서울 강서구 강서로 24 4층
보드게임카페봉봉,경기 부천시 부일로483번길 15 2층
마이티마장,서울 강남구 삼성로81길 35 강남빌딩 5층
더지니어스,경기 광주시 경안로 5 3층
퍼스트보드게임카페 구월점,인천 남동구 인하로 497-23 4층
라스보드카페,서울 강남구 언주로172길 36 지하 1층
타이틀보드카페,경기 성남시 분당구 돌마로 79 수협바다마트3층 썬프라자 301호
빌보드게임카페,경기 수원시 장안구 서부로 2130 2층
데블다이스 보드게임카페 강남3호점,서울 강남구 테헤란로1길 42 5층
몬스터홀덤,서울 중구 을지로3길 30-5 4층
나인보드카페,경기 용인시 수지구 풍덕천로139번길 6-5 4층
달콤한상상,서울 양천구 신월로38길 12
