이름,링크,상세정보
1인용 게임 (Solo / Solitaire Game),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1018,"혼자 게임을 하도록 설계된 게임이거나, 그러한 게임 모드를 포함한 게임을 말합니다. 
원래 2인 이상 게임이나, 플레이어가 실력을 향상시키기 위해 두개 이상의 진영을 플레이할 수 있는 게임은 이에 포함되지 않습니다(보통 전쟁 게임 플레이어나 체스 플레이어들 중에 이러한 경우가 많습니다). "
1회용 능력 (Once-Per-Game Abilities),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=972,"플레이어들은 게임에서 한 번 사용할 수 있는 특수 능력을 가집니다. 
이는 Warmachine의 'feats'처럼 플레이어들의 고유 능력이거나, Finca에서의 특별 전표처럼 모든 플레이어들이 공통적으로 쓸 수 있는 능력입니다. 
종종 플레이어들은 게임 중 이 능력을 사용하지 않았다면 추가 승점을 받을 수도 있습니다. "
3차원 이동 (Three Dimensional Movement),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1032,"게임말의 위치 및 이동이 3차원 공간에서 이루어집니다. 다층 게임 공간이나 평면(2차원) 게임 공간의 위 또는 아래에 높이를 표시하는 표시말이나 토큰 등으로 표현됩니다. 
예시 게임으로는 Chopper Strike가 있습니다. 이 게임은 물리적으로 헬리콥터나 탱크가 이동하는 2층 구조를 가집니다. 다른 예인 Attack Vector: Tactical은 게임판 표면에 높이를 보여주는 타일을 가지고 있습니다. "
가변적 단계 순서 (Variable Phase Order),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1042,"가변적 단계 순서는 차례가 이전 또는 이후와 같은 방법으로 진행되지 않을 수 있다는 것을 의미합니다. 
푸에르토 리코에서 대표적으로 이 방법을 사용합니다. 매 차례는 서로 다릅니다. 누가 어떤 역할을 선택하기 시작하는지, 어떤 역할을 맡는지에 따라, 여러분은 ""건설"" 행동을 원하는 것보다 더 빨리 수행해야 할 수도 있습니다. 어떤 게임에서는, 특정 행동을 수행하는 것이 거부될 수도 있습니다. 
행동이 제한되고 게임의 차례 순서가 정해져있지 않은 대부분의 게임은 이 메커니즘에 해당합니다만, 단순히 차례 순서가 변한다고 이 메커니즘 게임인 것은 아닙니다.  "
가변적 준비 (Variable Set-up),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1044,"게임 시작 상황이 매 게임마다 바뀝니다. 지도같은 공용 게임 구성물을 바꾸거나, 자원이나 목표같은 플레이어들의 시작 구성 등이 바뀔 수 있습니다."
가변적 플레이어 능력 (Variable Player Powers),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1043,"각 플레이어들은 각자 자신만 사용할 수 있거나, 기본 행동을 개선할 수 있는 특별한 행동을 가집니다.  "
가위바위보 (Rock-Paper-Scissors),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1002,"3가지 선택지가 있습니다. 3가지는 순환적으로 상성 우위를 가집니다(A가 B를 이기고, B가 C를 이기고, C는 A를 이깁니다). 
이 이름은 아이들이 자주 즐기는 놀이에서 따 왔습니다. 이 게임에서 
가위는 보자기를 자르고
보자기는 바위를 감싸고
바위는 가위를 망가뜨립니다. 
하지만 순환하는 메커니즘이 있는 모든 게임을 가리킬 수 있습니다. "
가장 높은 최솟값 점수 (Highest-Lowest Scoring),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=933," 플레이어의 점수는 여러 카테고리에서 가장 낮은 값이 됩니다. 누구든 가장 높은 최솟값을 가진 플레이어가 게임에서 승리합니다. 
이 시스템은 보통 크니치아(Knizia) 작가의 점수 방식으로 알려져 있습니다. 이 메커니즘을 일찍이 활용한 예로는 티그리스 & 유프라테스가 있습니다. 이 게임에서 플레이어는 서로 다른 4가지 색깔(빨간색, 초록색, 파란색, 노란색)의 큐브를 모으고 가장 큐브의 수가 적은 색깔이 점수가 됩니다. 한 플레이어가 빨간색 12개, 초록색 10개, 파란색 6개, 노란색 2개를 가지고 있다면 이 플레이어의 최종 점수는 2점입니다. 이 메커니즘은 플레이어가 특정 큐브만 집중적으로 모으지 않도록 만듭니다. 가장 높은 최솟값 점수는 완성한 세트만 점수로 계산되는 ""세트 모으기(Set Collection)"" 중 특별한 경우입니다.
  참조 : 세트모으기(Set Collection)"
감싸기 (Enclosure),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=918,"영역 감싸기 게임에서 플레이어들은 일정 영역을 둘러싸기 위해 자신이 가진 구성물을 놓거나 이동시킵니다. 영역 감싸기로 가장 오래되고 유명한 게임이라면 단연코 바둑이겠으나, 굳이 거기까지 가지 않더라도 이에 해당하는 게임은 많습니다.
영역 감싸기는 ""지역 우선권 / 영향력(Area Majority / Influence)""과는 다릅니다. 영역 감싸기에서는 플레이어들이 게임을 하는 동안 구획이 나누어진 게임판에서 실제로 특정 영역을 만들어내는 반면, ""지역 우선권 / 영향력(Area Majority / Influence)"" 게임에서는 각 지역이 이미 만들어져 있고 플레이어들은 그 지역에 대한 통제권을 놓고 경쟁합니다."
강제 입찰 (Constrained Bidding),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=903,"""강제 입찰""은 다른 경매 유형에 적용될 수 있는 메타-메커니즘입니다. 이 방식에서는 플레이어가 원하는 금액으로 자유롭게 입찰을 할 수 없습니다. 이러한 유형에는 플레이어가 더 높은 금액을 불러야만 하거나, 특정 조합으로 주어진 자원으로만 입찰해야 하는 등이 있습니다.
예를 들어 태앙신 라에서는 플레이어들이 각자 주어진 3개의 입찰 타일 중 하나를 골라서 입찰을 해야 하며, 하이 소사이어티에서는 각자 손에 든 돈 카드를 추가로 내서 입찰 금액을 올려야만 하고 원하는 대로 입찰 금액을 바꾸는 것은 금지됩니다."
거래 (Trading),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=980,이런 게임에서 플레이어들은 시장 등을 통하는 게 아니라 직접적으로 자산을 거래합니다. 
게임 종료 보너스 (End Game Bonuses),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=919,게임 종료 보너스 게임은 게임이 종료될 때 플레이어들이 추가 점수를 얻는(또는 잃기도 하는!) 게임입니다.
게임말 동시 이동 (Moving Multiple Units),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=966,"하나 이상의 게임말을 움직이는 행동입니다.
이 메커니즘은 라는 게임에서 처음 선보였습니다. 이 게임에서 플레이어는 우승할 것으로 예상되는 자동차를 골라 돈을 걸어 우승시키게 됩니다. 하지만, 게임에서 자동차를 움직이기 위해 사용해야 하는 카드는 여러 개의 자동차를 동시에 움직이게 합니다. 이에 따라 플레이어는 자신이 우승을 예측한 자동차에게 최대한 유리하면서 다른 자동차는 최대한 덜 움직이게끔 카드를 사용하게 됩니다."
겹쳐 놓기 (Layering),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=945,"겹쳐 놓기 메커니즘은 구성물 위에 다른 구성물을 포개어 올려 놓는 방식을 의미합니다. 구성물은 다양한 방식으로 겹쳐 놓을 수 있습니다. 구성물이 서로 겹쳐져 있다면, 가장 위에 있어 아무 것에도 가려지지 않은 아이콘이나 영역만 활성화된 것입니다.
겹쳐 놓기 메커니즘은 Patchistory나 Smartphone Inc. 같은 게임에서 찾아볼 수 있습니다."
경로와 네트워크 건설 (Network and Route Building),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=971,"이 메커니즘 게임은 목적지 사이의 경로로 표현되는 연결된 경로와 교차점의 개발을 담고 있습니다. 이 메커니즘은 단순히 점수를 매기는 것 이상으로, 특별한 행동을 유발하거나 유지비를 요구하는 등의 게임 내 효과를 제공한다는 점에서 ""연결(Connections)"" 메커니즘과는 다릅니다. 
이 시스템은 다양하게 구현되었는데, 가장 많은 형태는 기차 테마 게임입니다. 1830: Railways & Robber Barons은 인쇄된 트랙이 있는 타일을 사용합니다. Empire Builder는 지도에 크레용이나 화이트보드용 마커로 지도에 선을 그립니다. '파워 그리드'에서는 네트워크를 건설함으로써 경제적 효과를 얻습니다. Hansa Teutonica는 거래 네트워크의 연결을 완성하면 보너스 효과를 발생시킵니다. "
경매 / 입찰 (Auction / Bidding),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=877,"이 메커니즘 게임에서 플레이어들은 게임 내에서 자신의 위치를 강화하기 위해, 상품 경매에서 나온 물품에 대해 보통 (게임) 화폐를 통해 입찰합니다. 이러한 상품들은 플레이어들이 미래에 할 행동이나 현재 위치를 강화하는데 사용됩니다. 경매는 주어진 항목에 대해 한 명의 승자가 등장할 때까지 입찰을 차례대로 주고 받은 다음 승자에게 해당 물품의 조종권을 주는 것으로 구성됩니다. 보통, 이런 게임에는 어떤 플레이어도 현재 가격에 관심을 갖지 않는 물품이 있을 경우 그 물품의 가격을 떨어뜨리는 규칙이 있습니다. 대부분의 게임에서 한 물품에 대한 승자가 탄생했고, 입찰할 물품이 추가로 있는 경우, 다른 아이템들에 대한 추가적인 경매가 시행됩니다. 이 과정을 경매 단계 내에서 어떤 종료 조건이 발동되거나, 모든 물품이 고갈될 때까지 반복합니다. 이는 일꾼 놓기 게임과 유사합니다. 그러나 이 메커니즘에서는 일꾼이 더 높은 입찰에 의해 쫓겨날 수 있습니다. 
예를 들어 파워 그리드에서 플레이어들은 발전소 없이 게임을 시작하고 전기를 생산하기 위해 반드시 입찰을 이겨야만 합니다. 주어진 발전소에 대한 입찰을 승리하는 것은 해당 플레이어가 그 발전소를 자신의 발전소 칸에 놓고 주어진 차례에 더 많은 전기를 생산할 수 있도록 합니다.  Vegas Showdown에서 플레이어들은 더 크고 고급스러우며 가치있는 호텔을 짓기 위해 슬롯 머신이나 레스토랑 같은 공간에 대해 입찰합니다. 승리한 플레이어는 경매에 의해 매겨진 금액을 지불하고 해당 공간을 자신의 호텔에 놓습니다. 이 두 예시에서 모두, 입찰은 차례 단위로 이루어지며, 플레이어는 자신의 차례에 입찰을 포기할 수도 있습니다. "
경매 : 고정 위치 (Auction : Fixed Placement),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=882,"고정 위치 경매는 플레이어들이 어떤 물품에 입찰할 수 있는지에 대한 규칙을 만들고 판 또는 카드로 이를 표현함으로써 다중 입찰 경매를 변형한 상위 메커니즘입니다. 이 방식은 또한 한정 금액 경매와 종종 결합됩니다. 고정 위치 경매는 모든 플레이어가 패스하거나, 어떤 플레이어도 더 이상 입찰할 수 있는 권한이 없을 때 끝납니다. 가장 높게 입찰한 사람이 물품을 얻습니다. 
이 메커니즘의 좋은 예로 아문레와 Vegas Showdown이 있습니다. 이 게임들에는 경매 물품을 위한 트랙이 있습니다. 각 플레이어들은 관심있는 물품의, 원하는 가격에 마커를 둡니다. 다른 플레이어가 그 물품에 입찰하고 싶다면, 그 플레이어는 자신의 마커를 해당 물품 트랙의 현재 가격보다 더 높은 가격 칸에 놓아야 합니다. 이렇게 밀려난 플레이어는 자신의 마커를 회수하고, 다음 자신의 차례에 해당 칸의 더 높은 가격 칸에 놓거나, 아니면 다른 칸에 마커를 놓을 수 있습니다. 
모든 플레이어가 자신의 마커를 놓았다면, 입찰이 해결됩니다. "
경매 : 네덜란드식 (Auction : Dutch),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=879,"동시다발적인 단일 입찰제로, 시작 가격은 매우 높은 가격으로 시작해서 경매 참가자나 다른 조정 메커니즘에 의해 점점 가격이 줄어들다가, 누군가가 현재 가격에 합의를 선언할 때까지 진행하고, 경매가 종료됩니다. 현재 가격을 받아들인 최초 입찰자가 경매의 승자가 됩니다. 동점자는 없습니다. 네덜란드식 경매는 1회 입찰 경매로도 불립니다. 첫 입찰이 해당 경매의 유일한 입찰이 되기 때문입니다. 
이 메커니즘을 가장 순수하게 구현한 게임은 Merchants of Amsterdam입니다. 이 게임은 점진적으로 누군가가 때려서 경매를 승리할 때까지 가격을 줄이는 용수철 장전 메커니즘을 채용했습니다. 
이 카테고리는 물품이 트랙에서 점점 미끄러져 내려가며, 그에 따라 가격 역시 줄어드는 메커니즘도 포함하고 있습니다. Through the Ages: A Story of Civilization와 같은 게임에서의 카드 드래프팅이 이 메커니즘의 일반적인 모습입니다. 조금 다르지만 논리적으로 동일한 과정으로는 선택 받지 못한 자원의 가치 상승 (Increase Value of Unchosen Resources)가 있습니다. "
경매 : 네덜란드식 우선권 (Auction : Dutch Priority),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=880,"네덜란드식 우선권 경매는 다중 입찰 경매로, 경매에 올라간 품목의 수에 따라 품목의 가격이 결정되는 경매입니다. 경매에서 승리한 입찰자는 선 플레이어로, 현재 그곳에 놓인 입찰 토큰의 숫자와 동일한 현재 가격을 지불할 것인지 결정할 수 있는 우선권을 가집니다. 우선권은 다양한 요인에 따라 결정되는데, 일반적인 차례 순서에 따라 결정되거나, 각 품목별 별도 차례순서에 따라 결정될 수 있습니다. 플레이어들은 자신이 우선 입찰자일때, 보통 입찰 토큰의 수를 줄이기 위해 차례를 넘길 수도 있습니다. 이는 한 품목에 대한 가격을 낮추는 효과가 있습니다.
The Speicherstadt는 이 메커니즘을 대표하는 게임입니다. 이 게임에서 플레이어들은 차례 순서에 따라 경매에 올라온 다양한 품목 앞에 미플을 놓습니다. 모든 미플을 놓은 후 각 물품의 가격이 매겨집니다. 해당 항목에 가장 먼저 미플을 놓은 플레이어가 먼저 구매할 수 있지만, 그 칸에 놓인 미플 수만큼의 금액을 내야합니다. 그 플레이어가 구매할 수 없거나 구매하지 않는다면, 그 플레이어는 미플을 되돌리고 다음 입찰자가 구매할 수 있는데, $1 싸게 구매할 수 있습니다. 
이는 간단한 시스템이지만, 플레이어들에게 벼랑끝전술과 카운터 플레이의 기회를 열어줍니다. "
경매 : 비밀 입찰 (Auction : Sealed Bid),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=884,"플레이어들은 비밀리에 경매에 입찰합니다. 모든 입찰금액은 동시에 공개됩니다. 가장 높은 금액을 입찰한 사람이 승리합니다. 
이 경매 방식에서는 보통 최고 입찰자가 여럿일 때 이를 결정하는 규칙이 필요합니다. 일반적인 방법들로는 시작 플레이어에 가까운 사람으로 정하거나, 동점인 사람들끼리 재경매를 하는 방법이 있습니다. 
이 방식의 변형으로 무효화 비밀 경매라 불리는 방식이 있습니다. 이 경우에는 둘 이상의 플레이어가 같은 금액으로 가장 높은 금액을 입찰했을 경우, 두 플레이어 모두의 입찰이 무효화되고 경매에서 제외됩니다. 같은 금액을 입찰하지 않은 사람들 중에서 가장 높은 금액을 입찰한 사람이 승자가 됩니다. 이 방식은 제한적 입찰과 함께 사용하여 동점 가능성을 높이는 것이 가장 좋은데, 독수리 눈치싸움이라는 게임에서 처음 사용되었습니다(독일어 게임명이 Hol's Der Geier라서, ""Hol's Der Geier 메커니즘""이라고 부릅니다)."
경매 : 손재주 (Auction : Dexterity),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=878,"손재주 경매 게임에서 유효한 입찰을 제시하려면 특정한 손재주 행위를 수행해야 합니다. 보통 어떤 유효한 입찰 지역에 입찰 마커 자체를 배치하지만, 이를 구현하기 위한 다른 방법이 사용될 수도 있습니다. 
예를 들어,  Going, Going, GONE! 에서 플레이어들은 자신의 입찰을 표현하기 위해 실시간으로 자신의 토큰을 컵에 넣어야 합니다. "
경매 : 영국식 (Auction : English),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=881,"경매인은 일정 양의 입찰 금액을 요구하고 참가자들은 패들이나 손을 들어 해당 금액을 입찰함으로써 자신의 의지를 표현합니다. 플레이어들은 금액을 올려 입찰할 수 있고, 보통 자신의 실제 입찰 금액을 크게 소리높여 부름으로써 이를 표현합니다. 이 과정은 순서 없이 진행되고, 보통 경매인이 요구한 금액보다 소액을 높이거나, 훨씬 큰 금액을 부름으로써 진행됩니다. 어느 정도 금액에 도달해 일정 시간동안 인상이 없거나, 누구도 더 부를 사람이 없는 것이 명확한 경우, 경매인이 가장 높은 금액을 부른 플레이어를 승자로 선언하면서 경매가 끝납니다. "
경매 : 입찰 포기 전까지 차례 순서대로 입찰 (Auction : Turn Order Until Pass),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=885,"한 플레이어부터 시작해 차례 순서대로, 플레이어들은 돌아가며 현재 입찰가보다 더 높은 금액을 부르거나 입찰을 포기합니다. 한 플레이어를 제외한 모두가 입찰에 포기하면, 마지막으로 남은 그 한 사람이 이번 경매의 승자가 됩니다.
본 메커니즘에서 기본적으로 한 번 경매를 포기한 플레이어는 그 경매에 다시 참여할 수 없습니다. 하지만 재참가를 허용하게 하는 규칙을 채용한 게임도 그리 드물지는 않습니다."
경매 : 한 바퀴 (Auction : Once Around),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=883,"플레이어들은 한 번의 입찰 기회가 있습니다. 이 때 패스하거나, 이전 입찰보다 더 높은 가격을 부릅니다. 입찰 순서는 차례 순서 구조에 따라서 결정됩니다. 마지막 플레이어까지 입찰 기회를 가진 후, 가장 높은 금액을 부른 사람이 승리합니다. 
이 방식은 경매를 매우 짧게 해주지만(경매를 게임에 포함하는 것은 보통 게임 시간을 길게 만들기 때문에 위험합니다), 경매에서 승리하려면 얼마가 필요한지 알 수 있기 때문에 마지막 플레이어가 입찰에 매우 유리합니다. 따라서 디자이너는 필연적으로 밸런스에 신경을 많이 써야합니다. 
Modern Art와 Medici에 이 방식 경매의 예시가 포함되어 있습니다. "
경주 (Race),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=995,"먼저 핵심 목표를 달성한 첫 플레이어가 승리합니다. 보통 트랙의 끝에 다다른 첫 플레이어를 승자로 삼는 것으로 표현되는데, 고정된 목표을 가진 게임이라면 어떤 종류든지 경주 메커니즘 게임으로서 자격이 있습니다. 예를 들어, 어떤 플레이어가 10점에 도달하기 위해 경주하는 카탄도 경주 메커니즘 게임의 예시입니다. "
계약 (Contracts),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=904,"플레이어들은 보상을 얻기 위해 계약을 완수해야 합니다. 이러한 계약은 대개 단순히 무엇을 제일 먼저 하는 것으로 끝나기보다는 치밀한 계획과 조정을 요구하는 특별한 목표라는 형태를 취합니다. 계약은 모든 플레이어가 달성을 경쟁하는 공공 목표일 수도, 또는 각자에게 주어지며 해당 플레이어만 달성 가능한 개인 목표일 수도 있습니다.
계약은 많은 경우 Set Collection 메커니즘의 변종 형태를 띱니다. 예컨대 마르코 폴로에서는 계약이 특정 종류의 자원 묶음을 임의로 지정하고, 이를 지불하면 계약에 지정된 특정 보상을 얻을 수 있습니다. Pick-up and Deliver 메커니즘은 주로 철도 게임에서 흔히 등장하는 계약의 한 특별한 형태로, 이런 게임의 대표작으로는 Empire Builder를 꼽을 수 있습니다."
공개 드래프트 (Card Drafting),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=892,"공개 드래프트란, 플레이어들이 즉각적/장기적 관점에서 이득을 보거나, 게임 내 목적 달성을 위한 특정 조합을 모으기 위해 공용 공급처에서 카드/타일/자원/주사위 등을 집어오는 게임에서 사용되는 메커니즘입니다.
상트 페테르부르크는 오픈 드래프트 방식을 사용하는 게임의 좋은 예입니다.
아줄은 조금 더 복잡한 오픈 드래프트 방식을 사용합니다. 아줄에서는 여러 개씩 묶인 타일 더미 중에서 한 더미를 고른 후, 그 더미에서 다시 타일 하나만 선택하고 나머지 타일들은 공용 공급처로 되돌립니다.
단순히 카드 더미에서 카드를 뽑는 게임은 드래프트 게임이 아닙니다. 드래프트 메커니즘은 플레이어들에게 선택의 여지를 주어야 하며, 다른 플레이어들이 탐낼 만한 카드를 먼저 집어감으로 인해, 그 카드를 원했을 누군가가 그 카드를 얻지 못하게 방해하는 기능을 제공해야 합니다.
예시: 티켓 투 라이드에서 플레이어들은 공개된 공급처에서 카드를 뽑을 수 있습니다. 물론, 게임 내에서 카드들은 대부분 카드 더미에서 무작위로 뽑히는 경우가 대부분이지만, 그렇다 하더라도 이 게임은 여전히 드래프트 게임으로 여겨집니다.
본 메커니즘은 ""Drafting"" 항목에서 정의하는 비공개 드래프트와는 구별됩니다."
구획 덮기 (Grid Coverage),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=926,"구획 덮기 게임은 Components: Polyominoes와 같이 다양한 형태의 구성물로 특정한 칸이나 구획을 덮는 일련의 메커니즘을 아우릅니다.
간혹 ""테트리스 매커니즘""이라고 불리는 이 방식에서는 플레이어들이 구성물의 모양을 효율적으로 사용하기 경쟁을 벌입니다. 우봉고처럼 게임의 주요 메커니즘일 때도 있고 피렌체의 제후처럼 플레이어들이 선택을 계획하게 하거나 플레이어의 선택에 있어 제약의 기능을 하는 보조 메커니즘일 수도 있습니다.
활용 가능한 영역을 한 가지 구성물 유형으로 갖추거나 감싸는 게임에서는(특히 공용 공간을 두고 경쟁하는 경우는) ""감싸기(Enclosure)"" 방식을 활용합니다."
구획 이동 (Grid Movement),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=927,"구획 이동은 말이 다양한 방향의 구획으로 이동할 때 일어납니다. 구획은 (체스처럼) 정사각형 모양이 될 수도 있고 (아발론 클래식처럼) 육각형 모양이 될 수도 있습니다.
한 게임에 (체스나 체커처럼) 많은 말이 쓰일 수도 있고 (Fresco의 bishop처럼) 단 하나의 말만 쓰일 수도 있습니다."
굴림 / 돌림 이동 (Roll / Spin and Move),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1005,"굴림/돌림 이동 게임에서 플레이어들은 주사위를 굴리거나 돌림판을 돌려서 결정된 숫자에 따라 말을 이동합니다. 
이 용어는 게임을 하며 생각할 필요가 없는 게임이라는 것을 은연중에 언급하는 비판적인 용도로 사용됩니다. 그러나 백개먼 같은 굴림 이동 게임은 전략적 요소를 포함하고 있습니다. "
